,E1R1,E2R1,E3R1,E4R1,E5R1,E6R1,E7R1,E8R1,E9R1,E10R1,E11R1,E12R1,E13R1,E14R1,E15R1,E16R1,E17R1,E18R1,E19R1,E20R1,E21R1,E22R1,E23R1,E24R1,E25R1,E26R1,E27R1,E28R1,E29R1,E30R1,E31R1,E32R1,E33R1,E34R1,E35R1,E36R1,E37R1,E38R1,E39R1,E40R1,E41R1,E42R1,E43R1,E44R1,E45R1,E46R1,E47R1,E48R1,E49R1,E50R1,E1R2,E2R2,E3R2,E4R2,E5R2,E6R2,E7R2,E8R2,E9R2,E10R2,E11R2,E12R2,E13R2,E14R2,E15R2,E16R2,E17R2,E18R2,E19R2,E20R2,E21R2,E22R2,E23R2,E24R2,E25R2,E26R2,E27R2,E28R2,E29R2,E30R2,E31R2,E32R2,E33R2,E34R2,E35R2,E36R2,E37R2,E38R2,E39R2,E40R2,E41R2,E42R2,E43R2,E44R2,E45R2,E46R2,E47R2,E48R2,E49R2,E50R2,E1R3,E2R3,E3R3,E4R3,E5R3,E6R3,E7R3,E8R3,E9R3,E10R3,E11R3,E12R3,E13R3,E14R3,E15R3,E16R3,E17R3,E18R3,E19R3,E20R3,E21R3,E22R3,E23R3,E24R3,E25R3,E26R3,E27R3,E28R3,E29R3,E30R3,E31R3,E32R3,E33R3,E34R3,E35R3,E36R3,E37R3,E38R3,E39R3,E40R3,E41R3,E42R3,E43R3,E44R3,E45R3,E46R3,E47R3,E48R3,E49R3,E50R3
G028,0.013646,0.023486,0.016381,0.016311,0.015044,0.017099,0.015119,0.01401,0.012124,0.013195,0.011709,0.011118,0.012982,0.014841,0.018271,0.016095,0.016883,0.013951,0.01582,0.01962,0.014856,0.020491,0.027683,0.01947,0.01628,0.012514,0.018029,0.00035,0.016063,0.015286,0.013877,0.012973,0.018994,0.013607,0.014469,0.012265,0.019285,0.015276,0.017519,0.015885,0.01871,0.017274,0.015978,0.014508,0.01436,0.019128,0.017235,0.019906,0.013487,0.018477,0.020243,0.015058,0.013756,0.018089,0.018645,0.016086,0.01562,0.014843,0.020639,0.014078,0.015752,0.01526,0.011998,0.019586,0.018836,0.017661,0.018707,0.017005,0.013647,0.012323,0.016892,0.016008,0.012456,0.018431,0.0182,0.015724,0.016231,0.000574,0.013252,0.015627,0.020421,0.012296,0.014761,0.0134,0.012764,0.022201,0.01812,0.014552,0.019421,0.011502,0.016349,0.017137,0.015833,0.018513,0.014688,0.015396,0.017679,0.019144,0.012451,0.015544,0.018386,0.015764,0.014807,0.013367,0.016162,0.016885,0.018035,0.01198,0.020438,0.017701,0.02192,0.019221,0.015444,0.012736,0.012111,0.019191,0.020972,0.018806,0.014666,0.015372,0.015847,0.012979,0.01386,0.016576,0.009506,0.01492,0.015544,0.001514,0.017092,0.020372,0.014954,0.010119,0.014213,0.01681,0.015755,0.01119,0.01297,0.015703,0.022556,0.015577,0.012608,0.017822,0.016805,0.01385,0.013349,0.015515,0.014985,0.020188,0.016444,0.017762
G029,0.014521,0.024576,0.017492,0.017354,0.015922,0.018208,0.016032,0.014594,0.013024,0.014002,0.012355,0.011792,0.01373,0.015755,0.019347,0.016908,0.017762,0.014933,0.016562,0.02104,0.015735,0.021737,0.029418,0.020606,0.01718,0.013044,0.019119,0.01274,0.000665,0.015958,0.014457,0.013621,0.020159,0.014303,0.015282,0.012824,0.020471,0.016097,0.018696,0.016794,0.019863,0.018185,0.016878,0.01527,0.015243,0.020523,0.018479,0.021047,0.014138,0.019528,0.02149,0.015698,0.014504,0.019151,0.019886,0.017054,0.016781,0.015717,0.021737,0.015007,0.016817,0.015956,0.012551,0.020707,0.020081,0.018569,0.020044,0.018083,0.014627,0.013012,0.017923,0.017193,0.013148,0.019742,0.019314,0.016727,0.01725,0.014924,0.001379,0.016449,0.021583,0.013045,0.015444,0.014258,0.013348,0.02326,0.019193,0.015491,0.020441,0.012109,0.017312,0.018504,0.016967,0.0198,0.015669,0.01641,0.018724,0.020144,0.013401,0.016714,0.01985,0.016627,0.015616,0.014463,0.017075,0.018052,0.019227,0.012768,0.021702,0.018754,0.023,0.020164,0.016399,0.013362,0.01287,0.020233,0.022284,0.019801,0.015674,0.016352,0.016794,0.013745,0.014647,0.017665,0.009936,0.015782,0.016495,0.014353,0.001011,0.021636,0.015859,0.010858,0.015142,0.017711,0.016743,0.011959,0.013955,0.016523,0.02392,0.016402,0.013187,0.019102,0.017853,0.014619,0.014362,0.016363,0.015964,0.021352,0.017304,0.018825
G030,0.013906,0.023535,0.016519,0.016606,0.0153,0.017407,0.015289,0.014183,0.012423,0.013314,0.011873,0.011129,0.013145,0.014967,0.018516,0.016344,0.017008,0.014021,0.015946,0.020073,0.014865,0.020848,0.028289,0.019807,0.016503,0.012311,0.018449,0.012228,0.016344,6.1e-05,0.013903,0.013313,0.019319,0.013822,0.014686,0.012318,0.019557,0.01558,0.017703,0.016091,0.019067,0.017308,0.016118,0.014675,0.014748,0.019601,0.017598,0.020244,0.013595,0.018715,0.020494,0.015289,0.013912,0.018346,0.018899,0.016316,0.015891,0.014902,0.020718,0.014227,0.016044,0.01522,0.012005,0.01974,0.019075,0.017925,0.019192,0.017188,0.013841,0.012338,0.016978,0.016102,0.012524,0.018882,0.018359,0.015796,0.016325,0.014242,0.013439,0.001636,0.020652,0.012315,0.014939,0.013453,0.012728,0.022416,0.018473,0.014668,0.019578,0.011593,0.016553,0.017446,0.016002,0.018729,0.015002,0.015478,0.017952,0.019321,0.012761,0.015762,0.018677,0.015752,0.014971,0.01373,0.016253,0.017141,0.018266,0.012231,0.020649,0.018084,0.022006,0.019462,0.015724,0.012746,0.012282,0.019258,0.02106,0.018884,0.015092,0.015635,0.015927,0.01314,0.014076,0.016874,0.009466,0.01508,0.015807,0.013901,0.017254,0.000514,0.015129,0.010329,0.014354,0.016988,0.015997,0.011365,0.013029,0.015987,0.022717,0.015595,0.01262,0.018055,0.017106,0.014188,0.013755,0.01575,0.015031,0.020295,0.016586,0.018192
G031,0.015022,0.025644,0.017993,0.018091,0.016685,0.018958,0.016592,0.015281,0.013521,0.014553,0.012881,0.012025,0.014338,0.016313,0.020189,0.017644,0.018524,0.015188,0.017189,0.021836,0.016239,0.022508,0.030541,0.021389,0.017909,0.013527,0.019777,0.013181,0.017677,0.016659,0.000277,0.014355,0.021067,0.015138,0.015975,0.013421,0.021099,0.016879,0.019449,0.017557,0.020441,0.018911,0.017539,0.015786,0.015927,0.021159,0.019092,0.021937,0.014798,0.020218,0.022111,0.016431,0.015111,0.019687,0.020559,0.017597,0.017415,0.016287,0.02237,0.015544,0.017284,0.016839,0.012964,0.021205,0.020682,0.019348,0.020681,0.018673,0.015033,0.013455,0.018655,0.017719,0.013528,0.020476,0.019949,0.017282,0.017679,0.01538,0.014756,0.017137,0.000596,0.013636,0.016246,0.014761,0.013933,0.024219,0.019922,0.015973,0.021284,0.012618,0.017929,0.018859,0.017508,0.020409,0.016204,0.016965,0.019355,0.020813,0.013821,0.017318,0.020435,0.017019,0.016128,0.015033,0.017545,0.01865,0.019853,0.013167,0.022431,0.019403,0.023869,0.020967,0.016925,0.013859,0.013442,0.02087,0.023058,0.020594,0.016282,0.016793,0.017379,0.014112,0.015313,0.018356,0.010391,0.016252,0.017092,0.014749,0.018864,0.022332,0.000588,0.011105,0.015607,0.018414,0.017458,0.012385,0.014212,0.01726,0.024864,0.01693,0.013585,0.019606,0.018367,0.015182,0.014723,0.016978,0.016526,0.022169,0.018038,0.019706
G032,0.017113,0.029485,0.020602,0.020644,0.0189,0.021649,0.01886,0.017505,0.015357,0.016524,0.014636,0.013778,0.016526,0.018806,0.023184,0.020283,0.02123,0.017539,0.019822,0.024941,0.018658,0.025785,0.035168,0.024375,0.020391,0.01547,0.022775,0.015053,0.020111,0.019069,0.017324,0.000898,0.024093,0.017216,0.018223,0.015312,0.024281,0.017495,0.022191,0.020033,0.023528,0.021496,0.020097,0.018266,0.017437,0.023204,0.021644,0.02523,0.016892,0.023041,0.025375,0.018973,0.017384,0.022635,0.023499,0.020161,0.019896,0.018585,0.025754,0.01782,0.01994,0.019111,0.014922,0.024437,0.023689,0.022113,0.023542,0.021393,0.017257,0.015297,0.02122,0.020198,0.015316,0.02332,0.022747,0.019898,0.020413,0.017634,0.01677,0.019807,0.025554,0.000566,0.018452,0.016805,0.015859,0.027878,0.022847,0.016704,0.024484,0.014402,0.020531,0.021704,0.01994,0.023424,0.017697,0.018596,0.022053,0.023947,0.015714,0.019677,0.023497,0.019483,0.018712,0.017048,0.020236,0.021336,0.022914,0.015245,0.025757,0.022357,0.027275,0.024067,0.019371,0.015964,0.015316,0.023733,0.026366,0.023566,0.018633,0.019442,0.019798,0.016387,0.017592,0.021086,0.011562,0.018774,0.019553,0.017112,0.021638,0.025599,0.018822,0.000736,0.017905,0.021169,0.019902,0.014118,0.016427,0.018135,0.028463,0.019339,0.015593,0.022346,0.021272,0.017411,0.016258,0.018822,0.018856,0.025348,0.020501,0.022225
G033,0.017971,0.030887,0.021462,0.02146,0.01989,0.022594,0.020009,0.018394,0.016233,0.017451,0.01541,0.014573,0.01719,0.019654,0.024223,0.021276,0.02217,0.018301,0.020675,0.026173,0.019486,0.027122,0.036667,0.025572,0.021556,0.01627,0.023963,0.015792,0.02123,0.020098,0.018292,0.017267,0.00078,0.01798,0.018581,0.016144,0.025353,0.018124,0.023026,0.021065,0.024603,0.022548,0.020977,0.019181,0.017858,0.024417,0.022837,0.026378,0.017703,0.024124,0.026752,0.019888,0.018145,0.023709,0.024625,0.021271,0.020845,0.019598,0.027084,0.018805,0.020987,0.020281,0.01564,0.025585,0.024942,0.023149,0.024851,0.022468,0.018053,0.016225,0.022237,0.021305,0.01615,0.024544,0.02396,0.020787,0.021255,0.01851,0.017658,0.020688,0.026805,0.016302,0.001736,0.017572,0.016245,0.028948,0.024013,0.017133,0.0256,0.015124,0.021713,0.022366,0.020975,0.024568,0.018142,0.019788,0.023292,0.025013,0.016518,0.020515,0.024426,0.020555,0.019599,0.017949,0.021096,0.022413,0.023762,0.015992,0.027232,0.023442,0.028437,0.025168,0.020186,0.016721,0.015779,0.025237,0.027538,0.024724,0.019591,0.020404,0.02087,0.017105,0.018397,0.021978,0.012258,0.019736,0.020531,0.017951,0.022692,0.026849,0.019675,0.013611,0.000831,0.022213,0.020269,0.014682,0.017162,0.018656,0.02985,0.020373,0.016386,0.023607,0.022104,0.018375,0.016429,0.019746,0.019743,0.026401,0.021544,0.023485
G034,0.01379,0.023524,0.016599,0.016505,0.015124,0.017253,0.015284,0.014075,0.012416,0.013315,0.011683,0.01097,0.013046,0.01499,0.018291,0.016064,0.01693,0.013946,0.015691,0.019904,0.014917,0.02078,0.027873,0.019656,0.016295,0.012531,0.018115,0.012113,0.016093,0.015373,0.01399,0.013132,0.019245,0.00045,0.014699,0.012345,0.019382,0.015235,0.01763,0.016015,0.018789,0.017394,0.015986,0.014588,0.014585,0.019541,0.017312,0.020069,0.013504,0.018382,0.020369,0.01495,0.013865,0.017926,0.01881,0.016247,0.015808,0.014973,0.020682,0.014259,0.015828,0.015279,0.011944,0.019696,0.018956,0.017733,0.018874,0.017128,0.013608,0.012356,0.016894,0.016051,0.012312,0.018616,0.018134,0.015811,0.016087,0.014059,0.013496,0.015724,0.020621,0.012364,0.014758,0.001341,0.012715,0.022161,0.018319,0.014714,0.019422,0.011362,0.01647,0.017219,0.016077,0.018752,0.014783,0.01546,0.017925,0.019198,0.012481,0.015623,0.018703,0.015663,0.014931,0.013693,0.016239,0.016986,0.01833,0.012068,0.020493,0.017707,0.021912,0.019226,0.015674,0.01283,0.012014,0.019118,0.020951,0.018694,0.014936,0.015465,0.015873,0.012865,0.013977,0.016725,0.009313,0.015016,0.01564,0.013745,0.017254,0.020518,0.015039,0.010111,0.014309,0.000423,0.015946,0.011332,0.013078,0.015864,0.022688,0.015524,0.012539,0.017949,0.01693,0.013892,0.013528,0.01561,0.015063,0.020195,0.01656,0.017866
G035,0.014879,0.025676,0.017915,0.017937,0.016573,0.018943,0.01658,0.015378,0.013573,0.014593,0.01271,0.012104,0.014224,0.016374,0.020126,0.017515,0.018526,0.01536,0.017175,0.021783,0.016047,0.022587,0.030565,0.021375,0.01786,0.013664,0.019827,0.013141,0.017624,0.01662,0.015308,0.014455,0.020922,0.014871,0.001382,0.013447,0.021178,0.016738,0.017543,0.017589,0.020563,0.018924,0.017512,0.015854,0.015938,0.021199,0.018993,0.021826,0.014852,0.020214,0.022311,0.016434,0.015194,0.01969,0.020574,0.017715,0.017296,0.016154,0.022417,0.01547,0.017201,0.016566,0.013014,0.021349,0.020698,0.019213,0.020599,0.018671,0.015009,0.013501,0.018512,0.017504,0.013606,0.020338,0.019904,0.017272,0.0177,0.01531,0.014717,0.017134,0.022344,0.013454,0.0162,0.014835,0.000639,0.024271,0.020092,0.016018,0.019548,0.012566,0.01783,0.019079,0.017384,0.020699,0.016207,0.016993,0.019216,0.020875,0.013784,0.017126,0.020339,0.017157,0.016208,0.015017,0.017464,0.018637,0.019907,0.012972,0.022613,0.019399,0.023644,0.021083,0.017079,0.013898,0.013174,0.021005,0.02323,0.020596,0.016312,0.016945,0.017304,0.014249,0.015278,0.018356,0.010086,0.01644,0.017217,0.014982,0.018792,0.022273,0.01637,0.011168,0.015629,0.018571,0.000377,0.012325,0.014174,0.017283,0.022834,0.016922,0.013645,0.019638,0.018394,0.015219,0.014703,0.017077,0.016329,0.021969,0.018169,0.019532
G036,0.01352,0.023439,0.016374,0.016423,0.015023,0.017137,0.015083,0.013837,0.012328,0.013151,0.011555,0.010916,0.01289,0.014865,0.018198,0.015948,0.016839,0.013857,0.015593,0.019825,0.014775,0.020605,0.027645,0.019393,0.016217,0.012248,0.018046,0.012177,0.015909,0.015116,0.013785,0.012908,0.018832,0.013602,0.014357,0.001022,0.019229,0.015274,0.017364,0.015828,0.018592,0.017168,0.015926,0.014466,0.014475,0.019051,0.017247,0.019796,0.013461,0.018228,0.02005,0.015035,0.013766,0.017845,0.018664,0.015937,0.01571,0.014699,0.020587,0.014024,0.015874,0.015125,0.011866,0.019291,0.018808,0.017578,0.018714,0.016966,0.013662,0.012232,0.016827,0.015973,0.012224,0.018532,0.018013,0.015649,0.016098,0.014006,0.013416,0.015689,0.020225,0.012318,0.014733,0.013254,0.012721,0.002092,0.01803,0.014547,0.019274,0.011319,0.016271,0.017246,0.015864,0.018544,0.014727,0.015391,0.017606,0.018923,0.012584,0.015557,0.018574,0.01545,0.014755,0.013401,0.015884,0.016834,0.018115,0.011987,0.020492,0.017582,0.021594,0.0189,0.015337,0.012673,0.012117,0.018968,0.020797,0.018713,0.014794,0.015352,0.01565,0.012928,0.013915,0.016587,0.009377,0.014633,0.015563,0.013529,0.017082,0.020414,0.015036,0.010216,0.01415,0.016712,0.015798,0.000446,0.013046,0.015626,0.022507,0.015558,0.012365,0.017914,0.016748,0.013777,0.013288,0.015497,0.014973,0.020166,0.016355,0.017879
G037,0.014104,0.024048,0.016992,0.016963,0.015496,0.01764,0.015511,0.014289,0.012628,0.013649,0.012082,0.011132,0.01354,0.015281,0.018881,0.016451,0.017262,0.014434,0.016084,0.020503,0.015203,0.021212,0.028612,0.020024,0.016616,0.012728,0.018477,0.012427,0.016399,0.015548,0.01432,0.013408,0.019377,0.014015,0.014918,0.0126,0.000769,0.015891,0.018236,0.016308,0.019225,0.017751,0.016444,0.014874,0.014934,0.019848,0.017668,0.020598,0.013747,0.019004,0.020723,0.01563,0.014182,0.018598,0.019119,0.01644,0.016199,0.015234,0.021072,0.014484,0.016241,0.015639,0.012158,0.019916,0.0194,0.018086,0.019278,0.017537,0.014072,0.01253,0.017149,0.016426,0.012604,0.019012,0.018599,0.016077,0.016689,0.014473,0.013677,0.015966,0.021187,0.012609,0.015249,0.013788,0.012924,0.022585,0.001443,0.014956,0.019784,0.011849,0.016786,0.017751,0.016478,0.018953,0.015289,0.015933,0.018456,0.019512,0.012925,0.016265,0.019112,0.016081,0.01531,0.013906,0.016636,0.017485,0.018535,0.012457,0.021165,0.01824,0.022325,0.019777,0.01597,0.013056,0.012485,0.019726,0.021471,0.01929,0.015251,0.015753,0.016196,0.013305,0.014358,0.017116,0.009547,0.015152,0.015955,0.013994,0.017677,0.020944,0.01549,0.010401,0.014814,0.017258,0.016272,0.011535,0.001565,0.016349,0.023193,0.015914,0.012829,0.018458,0.01737,0.01423,0.013888,0.016011,0.015434,0.020778,0.016761,0.018325
G038,0.017201,0.029645,0.020633,0.020693,0.019011,0.021641,0.019144,0.01768,0.015542,0.016677,0.014669,0.013747,0.016557,0.018974,0.023118,0.020246,0.021264,0.017664,0.019851,0.025112,0.018625,0.02609,0.035273,0.024618,0.02052,0.015636,0.022909,0.015324,0.020174,0.019075,0.017639,0.016482,0.023918,0.017355,0.018505,0.015455,0.024469,0.001815,0.022142,0.02019,0.023563,0.020344,0.020201,0.018327,0.017012,0.024191,0.02177,0.024525,0.016873,0.022527,0.025516,0.01896,0.017499,0.022697,0.023637,0.020335,0.019887,0.018797,0.026019,0.017799,0.02008,0.019145,0.014891,0.02484,0.023809,0.022246,0.023634,0.021613,0.017295,0.015425,0.021294,0.020334,0.015493,0.023685,0.022932,0.019843,0.020493,0.017762,0.016858,0.019857,0.025625,0.015512,0.01873,0.016912,0.016091,0.027982,0.023016,0.000141,0.024539,0.01445,0.020618,0.020406,0.019988,0.023667,0.017403,0.019469,0.022274,0.023321,0.015856,0.018869,0.023612,0.0197,0.018716,0.017119,0.020307,0.021341,0.0229,0.015244,0.025862,0.022593,0.027418,0.024169,0.019547,0.016121,0.01543,0.024103,0.026405,0.023839,0.01854,0.019592,0.019918,0.016342,0.017703,0.021239,0.011964,0.018795,0.019772,0.017033,0.021676,0.02575,0.018832,0.012926,0.018124,0.021276,0.020018,0.014251,0.016248,0.000988,0.028654,0.019647,0.015695,0.021083,0.021129,0.01736,0.015961,0.019596,0.019164,0.024962,0.020695,0.021878
G039,0.013936,0.024076,0.01699,0.016897,0.015551,0.017796,0.015678,0.014279,0.012855,0.013593,0.012166,0.011371,0.013329,0.015281,0.018759,0.016462,0.017149,0.014469,0.016107,0.020659,0.015107,0.021288,0.028533,0.020076,0.016761,0.012693,0.018617,0.012441,0.016446,0.015529,0.014313,0.01344,0.019774,0.013983,0.014904,0.012334,0.01991,0.015727,0.001019,0.016166,0.019258,0.017778,0.016552,0.014791,0.014953,0.019875,0.017858,0.020523,0.013755,0.018935,0.02073,0.015274,0.014184,0.018496,0.01908,0.016569,0.016269,0.01546,0.021096,0.014579,0.016264,0.015579,0.01228,0.020123,0.019432,0.018145,0.019465,0.017751,0.013965,0.012767,0.017309,0.016666,0.012804,0.019159,0.018683,0.016187,0.016643,0.014324,0.01371,0.016243,0.020985,0.012654,0.015155,0.013797,0.012935,0.022605,0.018682,0.015055,0.002051,0.011733,0.016824,0.017797,0.016537,0.019118,0.015362,0.015813,0.018194,0.019546,0.012922,0.016016,0.019231,0.01593,0.015099,0.013899,0.016588,0.017538,0.018644,0.012355,0.021155,0.018299,0.02252,0.019663,0.015936,0.012956,0.012457,0.019643,0.021662,0.019205,0.015234,0.015974,0.016154,0.013329,0.014505,0.017216,0.009557,0.01532,0.015945,0.013966,0.017837,0.021075,0.015434,0.010341,0.014567,0.017475,0.016331,0.011546,0.013335,0.016093,0.002324,0.015776,0.012792,0.018403,0.017323,0.014347,0.013868,0.01616,0.015335,0.02086,0.016914,0.018326
G040,0.013542,0.023198,0.016163,0.016175,0.01496,0.016973,0.015034,0.013936,0.012131,0.013016,0.011568,0.010919,0.012861,0.014689,0.018021,0.016122,0.016678,0.013789,0.015535,0.019619,0.014642,0.02032,0.027636,0.019199,0.016095,0.012146,0.018009,0.01181,0.015889,0.015079,0.013458,0.012901,0.018791,0.0135,0.014303,0.012094,0.019099,0.015208,0.017192,0.000628,0.01861,0.016898,0.015901,0.014139,0.014359,0.019106,0.01713,0.01979,0.013286,0.018231,0.019966,0.014807,0.013722,0.017887,0.018607,0.015901,0.015501,0.014647,0.020255,0.013798,0.015646,0.014876,0.011753,0.019317,0.018717,0.017463,0.018633,0.016985,0.013607,0.012092,0.016703,0.015916,0.012166,0.018356,0.018002,0.01547,0.016024,0.013898,0.013203,0.015594,0.020164,0.012119,0.014564,0.013295,0.012524,0.021881,0.01806,0.014399,0.019268,0.00125,0.016296,0.016822,0.015684,0.018167,0.01484,0.015339,0.017326,0.018779,0.012455,0.015537,0.018394,0.015432,0.014661,0.013299,0.015885,0.016846,0.01793,0.011926,0.020143,0.017577,0.021466,0.018954,0.015216,0.012453,0.01212,0.018942,0.020622,0.018594,0.01476,0.015273,0.015638,0.012665,0.013731,0.016423,0.009285,0.014735,0.015303,0.01333,0.017027,0.020263,0.014693,0.010164,0.014025,0.016536,0.01569,0.011186,0.012793,0.015307,0.022356,0.000974,0.012239,0.017636,0.016524,0.013428,0.013337,0.015335,0.014901,0.01996,0.016315,0.017723
G041,0.014554,0.024785,0.017462,0.017436,0.015892,0.018228,0.016012,0.014866,0.01306,0.014081,0.012384,0.011713,0.013704,0.015758,0.019538,0.017182,0.018009,0.014805,0.016672,0.021167,0.015837,0.021815,0.029734,0.020749,0.017359,0.013168,0.019332,0.012915,0.016948,0.016006,0.01445,0.013957,0.020285,0.014631,0.015509,0.012759,0.020554,0.016141,0.018814,0.016966,0.001108,0.01829,0.01603,0.015387,0.015343,0.020583,0.018393,0.021338,0.014291,0.019625,0.021423,0.015908,0.01465,0.019122,0.019871,0.017088,0.016799,0.015779,0.021856,0.015064,0.016842,0.016022,0.012688,0.020692,0.020137,0.018823,0.019994,0.018095,0.014504,0.013267,0.017892,0.017049,0.01321,0.019635,0.019458,0.016774,0.017203,0.014991,0.014312,0.016615,0.021664,0.013171,0.015687,0.014131,0.013473,0.023465,0.019318,0.015483,0.020612,0.01223,0.00195,0.018553,0.015658,0.019795,0.015923,0.016394,0.018656,0.020049,0.013348,0.016762,0.019806,0.016537,0.015835,0.014459,0.0172,0.017955,0.019231,0.012758,0.021966,0.01882,0.023114,0.020306,0.016601,0.013511,0.012911,0.020368,0.022296,0.019941,0.015697,0.016449,0.016783,0.013823,0.014821,0.017513,0.009968,0.015868,0.016481,0.014375,0.018353,0.021607,0.015929,0.010881,0.015199,0.01784,0.016782,0.012165,0.013653,0.016789,0.023929,0.016428,0.00059,0.019186,0.016766,0.01489,0.014155,0.016545,0.015813,0.021526,0.017436,0.019094
G042,0.015869,0.027256,0.019106,0.019,0.017385,0.019921,0.017758,0.01628,0.014487,0.015326,0.013562,0.01259,0.015038,0.017255,0.02131,0.018783,0.019567,0.016249,0.01817,0.022879,0.017025,0.024054,0.032205,0.022551,0.019021,0.014536,0.021192,0.013954,0.018715,0.017609,0.016134,0.014991,0.02227,0.015823,0.016869,0.014149,0.022385,0.017809,0.020472,0.018455,0.021845,0.001614,0.017775,0.016883,0.016935,0.020758,0.020007,0.023186,0.015738,0.021292,0.023469,0.017332,0.01589,0.020959,0.02174,0.018612,0.018392,0.017233,0.023717,0.016511,0.018246,0.01761,0.013731,0.022756,0.021948,0.020404,0.022013,0.019734,0.016021,0.014342,0.019569,0.018681,0.014434,0.021507,0.021178,0.01824,0.01874,0.016258,0.015614,0.018184,0.023633,0.014406,0.017035,0.015641,0.014849,0.025697,0.021211,0.017044,0.022476,0.013194,0.018922,0.000868,0.017582,0.021686,0.017281,0.016734,0.020481,0.022099,0.01453,0.018161,0.021485,0.018013,0.01716,0.015717,0.018652,0.019496,0.021015,0.014007,0.023892,0.020507,0.025177,0.022181,0.017904,0.014694,0.014085,0.022184,0.024367,0.02165,0.01721,0.01801,0.018414,0.01498,0.016107,0.019368,0.010988,0.01728,0.018112,0.015702,0.019875,0.023768,0.017368,0.011911,0.01655,0.019635,0.018542,0.01304,0.015025,0.018371,0.026273,0.018044,0.014384,0.001423,0.018465,0.016082,0.015685,0.016924,0.017355,0.023508,0.019133,0.020739
G043,0.014172,0.024291,0.01708,0.017119,0.01577,0.018058,0.015708,0.014623,0.012769,0.013833,0.012069,0.01145,0.013516,0.015389,0.019063,0.016724,0.017613,0.014578,0.016446,0.020767,0.015283,0.021524,0.029053,0.0204,0.016827,0.012854,0.018881,0.012588,0.016591,0.015861,0.014457,0.013666,0.01994,0.014155,0.014989,0.012782,0.020159,0.016028,0.018274,0.016623,0.019624,0.018141,0.001708,0.015097,0.015115,0.020095,0.017992,0.020714,0.014072,0.019139,0.021011,0.015483,0.014516,0.018746,0.019378,0.016823,0.016374,0.015442,0.021315,0.014732,0.016446,0.015797,0.012267,0.020257,0.019685,0.018387,0.019654,0.017777,0.014241,0.012783,0.017678,0.016792,0.012826,0.019277,0.018919,0.016486,0.016917,0.014652,0.013782,0.016354,0.021224,0.012757,0.015319,0.014037,0.013114,0.023062,0.018978,0.015135,0.020178,0.012069,0.017072,0.018098,0.001805,0.019431,0.015352,0.016052,0.018359,0.019919,0.013087,0.016305,0.019203,0.016213,0.015503,0.014147,0.016742,0.017668,0.018828,0.01259,0.021308,0.018523,0.022583,0.019989,0.016066,0.013293,0.012602,0.019862,0.021802,0.019435,0.015402,0.016157,0.016504,0.013517,0.014564,0.017411,0.009773,0.015416,0.016236,0.014224,0.017914,0.021302,0.015559,0.010603,0.015017,0.017453,0.016559,0.011738,0.013458,0.016458,0.023743,0.015998,0.012983,0.018789,0.000811,0.014466,0.014073,0.016103,0.015664,0.021029,0.017065,0.018717
G044,0.0174,0.029812,0.02106,0.020957,0.019376,0.022068,0.019403,0.01781,0.015609,0.016916,0.014841,0.014157,0.016913,0.019019,0.023449,0.020614,0.021461,0.017812,0.020149,0.025454,0.018952,0.026446,0.035722,0.024824,0.020664,0.015989,0.023097,0.015567,0.020604,0.019328,0.017631,0.016719,0.024334,0.017466,0.018428,0.015607,0.024764,0.01967,0.022429,0.02028,0.023964,0.022253,0.020574,0.001337,0.01871,0.024478,0.020442,0.025649,0.01654,0.021808,0.025901,0.019121,0.017544,0.022988,0.024034,0.02077,0.020087,0.019005,0.02636,0.018096,0.020116,0.019508,0.015211,0.025055,0.024175,0.02258,0.024131,0.021951,0.017545,0.01564,0.021695,0.02054,0.015836,0.023781,0.023257,0.020053,0.020826,0.018087,0.017043,0.020075,0.026159,0.015753,0.018877,0.017252,0.016128,0.028338,0.023377,0.018651,0.024814,0.014731,0.021006,0.022203,0.020269,0.001427,0.019054,0.019885,0.020809,0.024383,0.015456,0.018684,0.02386,0.019812,0.018952,0.017353,0.020526,0.021702,0.02331,0.015548,0.026211,0.02277,0.027891,0.024384,0.019919,0.016272,0.015462,0.024468,0.026823,0.023927,0.018869,0.019737,0.02021,0.016492,0.01785,0.021328,0.012014,0.019029,0.019964,0.017394,0.021818,0.026063,0.019234,0.013045,0.018126,0.02158,0.02027,0.014445,0.016652,0.01996,0.029114,0.019882,0.015995,0.022962,0.021655,0.001055,0.017291,0.019776,0.017735,0.02587,0.020324,0.02143
